uid,master_seed,data_type,num_trials,dataset_size,uncertain_ratio,interval_size_range,mult_size_range,num_intervals,gap_size,interval_width,num_intervals_range,gap_size_range,interval_width_range,reduce_triggerSz_sizeLim,independent_variable,min_time_mean,min_time_std,max_time_mean,max_time_std,sum_time_mean,sum_time_std,sumtest_time_mean,sumtest_time_std,reduce_calls_mean,max_interval_count_mean,total_interval_count_mean,combine_calls_mean,result_size_mean,result_coverage_mean
t_s_iv_n_ea03c78e53,2273135745,set,5,2000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(4, 2)",dataset_size,3.1033999999999997,0.05715452737972735,3.9938000000000002,0.4330789304503279,2.0654000000000003,0.0993470684016393,2.0398,0.03683150825040971,1999.0,16.0,16004.0,2000.0,2.0,2336584.8
t_s_iv_n_a4d5bb046f,2273135745,set,5,4000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(4, 2)",dataset_size,5.8064,0.14967778726317404,7.5052,0.21899899543148582,4.281000000000001,0.5394141266225793,4.2994,0.26651499019754954,3999.0,16.0,32004.0,4000.0,2.0,4661224.2
t_s_iv_n_59fff2cf13,2273135745,set,5,6000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(4, 2)",dataset_size,8.8,0.2019277098369612,11.2828,0.37338687711273394,6.149800000000001,0.0968140485673437,6.361199999999999,0.09733529678384921,5999.0,16.0,48004.0,6000.0,2.0,6989036.2
t_s_iv_n_d9242923a4,2273135745,set,5,8000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(4, 2)",dataset_size,11.294799999999999,0.1943547272386239,14.633600000000001,0.1306561900561931,8.2636,0.5322001878992526,8.203,0.19143040510848838,7999.0,16.0,64004.0,8000.0,2.0,9311974.0
t_s_iv_n_006048bd1a,2273135745,set,5,10000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(4, 2)",dataset_size,13.9864,0.19197562345256242,18.3174,0.08831217356627574,10.0002,0.14993251815400144,10.242999999999999,0.22515061625498595,9999.0,16.0,80004.0,10000.0,2.0,11638432.0
t_s_iv_n_1f473b7cc0,2273135745,set,5,12000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(4, 2)",dataset_size,17.2944,0.9943726866723557,22.0594,0.30720520828918196,12.6288,0.9146543390811633,25.529200000000003,26.43163184822307,11999.0,16.0,96004.0,12000.0,2.0,13966315.0
t_s_iv_n_bef9bd7404,2273135745,set,5,14000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(4, 2)",dataset_size,19.679,0.6186472338902027,27.452800000000003,3.9279517003140456,14.1594,0.2742864196419505,14.559000000000001,0.7599955263026228,13999.0,16.0,112004.0,14000.0,2.0,16296547.2
t_s_iv_n_8a17d5a595,2273135745,set,5,16000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(4, 2)",dataset_size,22.3402,0.32006336872563296,28.996000000000002,0.14008426035782917,16.209799999999998,0.11610236862355568,16.683,0.43839388681869235,15999.0,16.0,128004.0,16000.0,2.0,18624797.8
t_s_iv_n_3f4d6ee910,2273135745,set,5,18000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(4, 2)",dataset_size,25.225800000000003,0.9351871256598865,33.444,0.7183236039557671,18.591,1.044149989225686,18.2162,0.4413762114115352,17999.0,16.0,144004.0,18000.0,2.0,20949073.4
t_s_iv_n_bd24d9ee6b,2273135745,set,5,20000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(4, 2)",dataset_size,27.036199999999997,0.6434800385404351,35.6426,1.006715173224284,19.648000000000003,0.4420357451609548,19.9594,0.3752644933909951,19999.0,16.0,160004.0,20000.0,2.0,23272829.8
