uid,master_seed,data_type,num_trials,dataset_size,uncertain_ratio,interval_size_range,mult_size_range,num_intervals,gap_size,interval_width,num_intervals_range,gap_size_range,interval_width_range,reduce_triggerSz_sizeLim,independent_variable,min_time_mean,min_time_std,max_time_mean,max_time_std,sum_time_mean,sum_time_std,sumtest_time_mean,sumtest_time_std,reduce_calls_mean,max_interval_count_mean,total_interval_count_mean,combine_calls_mean,result_size_mean,result_coverage_mean
t_s_iv_ni_nir_64ed2dcb32,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",1,,,,"(1000, 5000)","(2, 15)","(10, 5)",num_intervals,8.903400000000001,0.021932624102008025,8.819799999999999,0.2220931336174084,6.1578,0.17382565978589012,6.2188,0.09477214780725392,0.0,1.0,10000.0,10000.0,1.0,80120.8
t_s_iv_ni_nir_dff462a334,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",2,,,,"(1000, 5000)","(2, 15)","(10, 5)",num_intervals,11.6972,0.42995367192291817,11.968800000000002,0.17961447603130404,11.355599999999999,0.8205565428415035,10.212799999999998,0.14239297735492423,9997.0,16.0,99990.0,10000.0,5.0,30422694.6
t_s_iv_ni_nir_0e80bd1c92,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",3,,,,"(1000, 5000)","(2, 15)","(10, 5)",num_intervals,20.5738,0.7713039349050408,15.1174,0.5326888773008126,20.2632,0.8995481977081612,13.790799999999999,0.18653192756201228,9998.0,27.0,149994.0,10000.0,5.0,60406427.0
t_s_iv_ni_nir_3b33afad32,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",4,,,,"(1000, 5000)","(2, 15)","(10, 5)",num_intervals,28.0416,0.8090840747413081,17.5392,0.3200452468011364,27.8514,2.1054653262402585,17.215799999999998,0.16160742557197075,9999.0,20.0,199980.0,10000.0,5.0,90760426.6
t_s_iv_ni_nir_666c16a799,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",5,,,,"(1000, 5000)","(2, 15)","(10, 5)",num_intervals,33.6438,1.1790442570149775,19.5446,0.27928164995215865,33.9422,1.0589217912575024,21.648000000000003,0.656868327749177,9999.0,25.0,249980.0,10000.0,5.0,121403961.8
t_s_iv_ni_nir_6fe96c0b79,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",6,,,,"(1000, 5000)","(2, 15)","(10, 5)",num_intervals,38.9724,2.299269240432707,21.840799999999998,0.1838492861014151,39.50599999999999,2.4956805083984617,25.894,0.4173880688280382,9999.0,36.0,299982.0,10000.0,5.0,150855398.8
t_s_iv_ni_nir_0149a5e18c,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",7,,,,"(1000, 5000)","(2, 15)","(10, 5)",num_intervals,45.0664,0.28307073320991605,24.557800000000004,0.32777211595863365,36.6512,2.1913200040158456,31.089199999999998,0.2643341824282283,9999.0,49.0,349986.0,10000.0,5.0,180877735.8
t_s_iv_ni_nir_d8bf112862,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",8,,,,"(1000, 5000)","(2, 15)","(10, 5)",num_intervals,51.3432,3.2297025497714182,26.702199999999998,0.0663999999999999,45.4248,2.337985320740916,37.189,0.10753790029566207,9999.0,64.0,399992.0,10000.0,5.0,210992818.0
t_s_iv_ni_nir_c977df01d7,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",9,,,,"(1000, 5000)","(2, 15)","(10, 5)",num_intervals,58.40939999999999,1.4872605151754685,30.590999999999998,1.0515152875731288,47.581199999999995,1.260684480748453,45.8036,1.3282472059070933,9999.0,81.0,450000.0,10000.0,5.0,241293701.4
t_s_iv_ni_nir_c9be4d1d0d,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",10,,,,"(1000, 5000)","(2, 15)","(10, 5)",num_intervals,69.3956,2.4163402574968615,33.785199999999996,0.33097637377915606,54.0976,0.1461254255767989,53.7898,0.11127515445956507,9999.0,100.0,500010.0,10000.0,5.0,270832664.8
